classifier,period_length,sampling_rate,accuracy,f1_score,best_params_
LogisticRegression,2200,1000,0.919,0.920,{'C': 100}
LogisticRegression,2500,1000,0.921,0.923,{'C': 100}
LogisticRegression,1000,2000,0.917,0.918,{'C': 100}
LogisticRegression,1300,2000,0.937,0.938,{'C': 100}
LogisticRegression,1500,2000,0.937,0.938,{'C': 100}
LogisticRegression,1800,2000,0.920,0.921,{'C': 100}
LogisticRegression,2000,2000,0.920,0.921,{'C': 100}
LogisticRegression,2200,2000,0.921,0.922,{'C': 100}
LogisticRegression,2500,2000,0.920,0.921,{'C': 100}
LogisticRegression,1000,5000,0.922,0.923,{'C': 100}
LogisticRegression,1300,5000,0.932,0.933,{'C': 100}
LogisticRegression,1500,5000,0.925,0.926,{'C': 100}
LogisticRegression,1800,5000,0.925,0.926,{'C': 100}
LogisticRegression,2000,5000,0.922,0.924,{'C': 100}
LogisticRegression,2200,5000,0.915,0.916,{'C': 100}
LogisticRegression,2500,5000,0.921,0.922,{'C': 100}
LogisticRegression,1000,10000,0.926,0.927,{'C': 100}
LogisticRegression,1300,10000,0.921,0.922,{'C': 100}
LogisticRegression,1500,10000,0.932,0.933,{'C': 100}
LogisticRegression,1800,10000,0.922,0.923,{'C': 100}
LogisticRegression,2000,10000,0.907,0.908,{'C': 100}
LogisticRegression,2200,10000,0.921,0.922,{'C': 100}
LogisticRegression,2500,10000,0.916,0.917,{'C': 100}
LogisticRegression,1000,20000,0.922,0.923,{'C': 100}
LogisticRegression,1300,20000,0.928,0.929,{'C': 100}
LogisticRegression,1500,20000,0.929,0.930,{'C': 100}
LogisticRegression,1800,20000,0.924,0.925,{'C': 100}
LogisticRegression,2000,20000,0.916,0.917,{'C': 100}
LogisticRegression,2200,20000,0.916,0.917,{'C': 100}
LogisticRegression,2500,20000,0.913,0.915,{'C': 100}
RandomForestClassifier,0,0,0.995,0.995,"{'criterion': 'entropy', 'max_depth': 80, 'n_estimators': 120}"
